id,store_id,name,description,price,category,image_url
1,4,청사과 페퍼민트,시원한 페퍼민트와 달콤한 제철과일 청사과의 조화로움으로 무더운 여름에 잘 어울리는 음료입니다!,6200,,
2,9,아메리카노,,4000,,
3,9,"안녕, 헤이즐",직접 만든 헤이즐넛 소스로 만든 고소하고 달달한 크림 라떼,5500,,
4,9,아메리카노,,4000,,
5,9,에스프레소,,4000,,
6,9,카페 라떼,,4500,,
7,9,플랫 화이트,라떼보다 우유가 적게 들어가 진하게 드실 수 있는 커피 입니다.,4500,,
8,9,롱블랙,아메리카노 보다 물이 적게 들어가 진하게 드실 수 있는 커피입니다.,4000,,
9,9,카푸치노,뜨거운 메뉴만 가능합니다.,4500,,
10,9,발로나 초콜릿 라떼,100% 발로나 카카오와 아가베 시럽으로 당을 채운 초콜릿 라떼,5500,,
11,9,레몬차,직접 착즙한 레몬즙과 자일로스 설탕을 이용해 청을 만들어 진하고 상큼합니다.,5700,,
12,9,자몽차,겉껍질과 속껍질 모두 직접 손질하여 만들며 자몽 과육이 살아 있는 수제청으로 만듭니다.,5500,,
13,9,로즈&히비스커스 차,로즈와 히비스커스를 이용해 청을 만들었습니다. 달달한 메뉴입니다.,5500,,
14,9,라벤더 차,라벤더 허브로 만든 수제 청으로 달달한 메뉴입니다.,5500,,
15,24,맛차 라떼,프리미엄 하동 맛차로 만든 청량한 라떼,7500,,
16,24,호지차 라떼,프리미엄 하동 호지차로 만든 고소한 라떼,7500,,
17,24,피스타치오 밀푀유,고소한 피스타치오 크림과 상큼한 라즈베리가 어우러진 밀푀유입니다. 담백하게 만들어서 커피와 페어링해서 드시는걸 추천드립니다. (현재 포장 주문은 어렵습니다.),7800,,
18,24,아메리카노,,5800,,
19,24,카페라떼,,5800,,
20,24,바닐라빈 라떼,,6300,,
21,24,시즈널 에스프레소,,5300,,
22,24,콜롬비아 산타모니카 허니리치 디카페인 (Filter),"process : 슈가케인 note : 리치, 체리, 패션후르츠, 플로럴, 꿀( 신맛3, 단맛5, 쓴맛2, 바디감3 )",8000,,
23,29,땅콩 카라멜 라떼,꼬숩 땅콩에 진득 카라멜 환장해 증말,4900,,
24,29,쌍화차,9가지 약재로 더 진하고 달큰하게. 무병장수 각,5400,,
25,29,생강차,무설탕 찐생강 100% 꽉꽉 눌러담은 진.짜.생.강.차,5400,,
26,29,멕시칸 풀드포크 나초,"바삭 나초와 쫄깃 풀드포크,, 과카몰리 까지 박수쳐",7000,,
27,29,멕시칸 풀드포크 핫도그,멕시코 유학갔을때가 생각나는 풀드포크 핫도그,6500,,
28,48,필터커피. 겨울 블랜드 [중강배전],"Costa Rica Don Mayo Cinnamon, Papa New Guinea Jiwaka Blue Mountain 초콜릿, 건포도, 시나몬, 우아한 바디감 / 매년 겨울에 선보이는 블랜딩 원두입니다. 건포도와 설탕, 그리고 럼에 절인 과일. 아몬드, 시나몬 등의 향신료, 겨울 하면 떠오르는 맛과 향 입니다. 콜롬비아와 파푸아뉴기니의 특별한 두 농장에서 가공된 두가지 원두를 블랜딩, 겨울에 가장 어울리는 맛과 향을 가진 커피로 준비 하였습니다. 이 커피와 함께 따뜻하게 한해를 마무리하시고 새해를 맞이 하시길 바랍니다.",5500,,
29,48,필터커피. 과테말라 [중강배전],"Guatemala El Morito Washed 밀크초콜릿, 호두, 사과, 몰트 / Jose Robert Monterroso는 20년 전에 이 농장을 만들었고 해마다 지속 적인 성장을 이루고 있습니다. 과테말라 CoE대회 2022년 1위, 2013년 2위, 2014년 3위와 11위를 차지할 정도로 높은 품질의 커피를 생산하고 있습니다. 중강배전 로스팅 된 이커피는 호두, 아몬드에서 느껴지는 고소함, 밀크 초콜릿의 단맛과 함께 좋은 밸런스를 이루고 있습니다.",5000,,
30,48,필터커피. 디카페인 [중강배전],"Colombia Narino El Tabron E.A Decaf 낮은 산미, 카라멜, 메이플시럽을 연상시키는 단맛. 사탕수수에서 추출한 천연 에틸 아세테이트(E.A)희석액을 사용하여 카페인 97% 이상 제거.",5000,,
31,48,콜드브루,ICED ONLY Guatemala El Morito Washed. 12시간 침출식. 산미가 적고 초콜릿한 단맛과 깨끗한 여운이 특징.,5000,,
32,48,콜드브루 [우유와 꿀],"ICED ONLY 국내산 천연 꿀100%(사양벌꿀, 피나무꿀)",5500,,
33,48,에스프레소,설탕 6g 넣어드립니다. (Tip. 설탕을 원치 않으면 말씀해 주세요.),3500,,
34,48,아메리카노,"DARK [강배전 블랜드] 다크초콜릿, 묵직한 질감 BRIGHT [중배전 블래드] 부드러운 산미, 고소한 단맛",4000,,
35,48,플랫화이트,,4500,,
36,48,카페 라떼,,4500,,
37,48,바닐라빈 라떼,직접 만드는 마다가스카르산 천연 고메 바닐라빈 시럽. 깨끗하고 풍부한 바닐라향이 특징.,5000,,
38,48,소금카라멜 라떼,"기라델리 씨솔트 카라멜 소스, 영국 말돈 소금 카라멜의 녹진한 단맛과 말돈소금의 감칠맛.",5500,,
39,48,카페 모카,,6000,,
40,48,콩가루 쉐이크,ICED ONLY 콩가루 (전북남원 유기농 콩가루),6000,,
41,53,콜드브루500ml+얼음컵[아이스],더 진한 풍미가 가득한 콜드브루,3900,,
42,53,라떼500ml+얼음컵,우유선택/ 원두선택,5500,,
43,53,콜드브루라떼500ml+얼음컵[아이스],더 진한 콜드브루 돌체라떼,4900,,
44,53,달달한 제로슈가라떼500ml+얼음컵,당류0g 제로슈가라떼 7종,5900,,
45,53,저당생딸기라떼500ml+얼음컵[아이스],,5500,,
46,53,제로슈가호지차500ml+얼음컵,,5500,,
47,68,오늘의 커피,"매일 바뀌는 커피를 드립커피로, 라이언스가 로스팅한 커피, 무엇을 먹을지 고민된다면 오늘의 커피",3500,,
48,68,아메리카노 (고소 or 산미(게이샤블랜딩)),"라이언스가 엄선한 생두로 우리에게 친근한 아메리카노를 만듭니다. - 고소한맛, 신맛 두가지 - 기본 2shots 들어갑니다(샷 만 40ml)",4000,,
49,68,영국식 크림커피,*아이스ICED 만 가능합니다,5500,,
50,68,아메리카노 (고소 or 산미(게이샤블랜딩)),"라이언스가 엄선한 생두로 우리에게 친근한 아메리카노를 만듭니다. - 고소한맛, 신맛 두가지 - 기본 2shots 들어갑니다(샷 만 40ml)",4000,,
51,68,스페셜 아메리카노,평소 드립으로만 만나던 커피를 아메리카노로 즐겨보세요,5000,,
52,68,카페 라떼,라이언스의 게이샤 블렌딩 에스프레소와 우유의 조화,5000,,
53,68,바닐라 라떼,달달한 바닐라 라떼도 역시 라이언스 커피,5500,,
54,68,영국식 크림커피,*아이스ICED 만 가능합니다,5500,,
55,68,디카페인 아메리카노,,5000,,
56,68,디카페인 라떼,디카페인으로 만든 라떼,5500,,
57,68,(Only ICED)게이샤 콜드브루,*아이스만 가능 여러분의 사랑을 잔뜩 받는 게이샤 산미 아메리카노 원두를 콜드브루로 추출했어요. 산미 좋아하신다면 무조건 추천,5500,,
